ID,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice
156,74,5868,5,1956,2000,0,248,448,936,936,0,936,1,0,4,0,1,308,0,0,129000
157,78,17503,6,1948,1950,0,0,912,912,912,546,1458,1,0,6,1,1,330,192,0,97500
158,64,6979,6,1980,1980,0,1056,0,1056,1056,0,1056,0,0,4,0,2,576,264,56,144000
159,0,9830,5,1959,2006,0,72,733,1063,1287,0,1287,1,0,7,1,2,576,364,17,162000
160,96,11275,7,1967,2007,300,0,710,710,1898,1080,2978,2,1,11,1,2,564,240,0,242000
161,60,8064,6,1948,2004,0,481,161,816,816,408,1224,1,0,5,0,1,280,414,0,132000
162,75,7500,5,1959,1994,0,340,0,1246,1246,0,1246,1,1,6,0,1,305,218,0,154000
163,71,8520,5,1952,1952,0,507,403,910,910,475,1385,2,0,6,0,2,720,0,0,166000
164,60,7200,5,1951,2000,0,234,180,900,900,0,900,1,0,5,0,2,576,222,32,134800
165,87,10000,6,1962,1962,261,0,1116,1116,1116,0,1116,1,1,5,0,2,440,0,0,160000
166,81,7635,5,1960,1960,0,588,237,1175,1175,0,1175,1,1,6,0,2,484,0,0,148000
167,80,9760,6,1963,1984,218,717,415,1395,1395,0,1395,1,0,7,1,2,440,657,0,192000
168,70,7700,6,1966,1966,351,0,756,756,1051,788,1839,1,1,7,1,2,442,0,124,155000
169,60,4800,4,1900,1954,771,48,661,709,1157,687,1844,1,0,9,2,1,240,84,0,80400
170,55,8800,4,1910,2004,0,0,576,576,792,348,1140,1,0,7,0,0,0,0,160,96500
171,56,4485,5,1920,1950,0,579,357,936,936,0,936,1,0,5,1,0,0,51,0,109500
172,56,8960,5,1927,1950,0,0,1008,1008,1028,0,1028,1,0,5,1,2,360,0,0,115000
173,69,5805,5,1957,1957,0,274,0,1347,1347,0,1347,1,0,6,0,2,551,0,0,143000
174,60,5790,3,1915,1950,0,0,840,840,840,765,1605,2,0,8,0,1,379,0,0,107400
175,47,4608,4,1945,1950,0,0,747,747,747,0,747,1,0,4,0,1,220,0,0,80000
176,60,7200,5,1940,1992,294,510,278,788,804,0,804,1,0,4,2,1,240,0,0,119000
177,50,5500,5,1929,2001,0,234,0,926,926,0,1316,1,0,6,0,2,484,0,0,130000
178,50,6900,6,1938,2000,0,0,827,827,827,424,1251,1,0,6,0,1,240,0,0,119000
179,69,11851,5,1948,2009,0,780,247,1027,1027,606,1633,1,0,7,1,1,240,0,100,129000
180,0,8239,5,1920,1962,0,176,832,1008,1060,185,1245,1,0,6,0,1,315,0,0,100000
181,68,9656,2,1923,1970,0,0,678,678,832,0,832,1,0,5,1,2,780,0,0,12789
182,60,8520,6,1928,2003,0,0,624,624,720,0,720,1,0,5,0,2,484,106,0,105900
183,60,9600,8,1900,2003,0,0,930,930,930,636,1566,2,0,7,0,1,288,54,228,150000
184,60,10800,5,1915,1950,0,686,0,686,966,686,1652,2,0,7,0,1,416,0,0,139000
185,50,9000,8,1890,2002,0,0,346,346,1157,1111,2268,3,0,7,0,2,624,0,108,240000
186,100,9045,5,1910,1950,0,0,840,840,1128,1128,2256,2,0,12,0,0,0,0,18,76500
187,90,7407,6,1957,1996,0,600,312,912,1236,0,1236,1,0,6,0,2,923,0,158,149700
188,60,7740,4,1910,1950,0,0,622,622,741,622,1363,1,0,6,0,2,528,0,0,125500
189,60,11340,4,1885,1950,0,0,777,777,1246,1044,2290,2,0,11,0,2,560,0,0,122500
190,60,10560,6,1922,1994,0,283,455,738,868,602,1470,1,1,6,0,2,624,0,0,140750
191,53,5830,5,1950,1997,0,788,200,988,1030,582,1612,1,1,7,0,1,363,0,0,128500
192,0,7793,7,1922,2005,0,474,634,1108,1160,908,2068,1,1,8,1,1,315,0,0,209500
193,50,5000,4,1925,1950,0,188,577,765,765,0,765,1,0,4,0,1,200,135,0,87000
194,50,6000,6,1939,1950,0,452,144,608,608,524,1132,1,0,5,0,1,240,0,0,134000
195,50,6000,6,1940,1950,0,264,308,572,848,348,1196,1,1,6,2,2,576,0,0,128000
196,53,6360,5,1942,1950,300,360,316,835,955,498,1453,1,1,7,2,1,240,0,0,132000
197,50,6000,6,1948,1950,0,300,480,780,780,636,1416,1,1,6,0,1,312,221,0,139900
198,52,6240,5,1936,1980,0,276,252,528,548,492,1040,1,0,5,0,2,624,306,0,123900
199,52,6240,5,1930,1950,0,448,480,928,928,608,1536,2,0,7,1,2,480,0,10,138400
200,51,6120,6,1923,1950,0,960,164,1124,1068,0,1068,1,0,5,1,1,288,0,0,109500
201,50,10300,7,1921,1950,0,0,576,576,902,808,1710,2,0,9,0,2,480,12,11,140000
202,57,8094,4,1915,1950,0,0,888,888,888,1074,1962,1,1,9,1,2,572,160,0,149500
203,60,12900,6,1912,2009,0,0,780,780,780,780,1560,1,1,7,0,0,0,344,0,159900
204,52,3068,6,1920,1993,0,0,662,662,662,662,1324,1,0,6,0,1,180,0,0,122000
205,110,8472,5,1963,1963,0,104,0,816,816,0,816,1,0,5,0,2,516,106,0,110000
206,70,5600,4,1930,1950,0,0,0,0,372,720,1092,2,0,7,0,0,0,0,0,55000
207,76,7630,5,1900,1996,0,0,360,360,1032,780,1812,2,0,8,1,2,672,344,0,140000
208,0,24090,7,1940,1950,0,0,1032,1032,1207,1196,2403,2,0,10,2,1,349,56,0,244400
209,100,15263,5,1959,1959,90,766,656,1422,1675,0,1675,2,0,8,2,1,365,0,132,173000
210,72,10632,5,1917,1950,0,0,689,689,725,499,1224,1,1,6,0,1,180,0,0,107500
211,60,9900,5,1915,1950,0,1026,186,1212,1212,180,1392,1,0,6,0,0,0,0,0,100000
212,65,6001,6,1940,1950,0,368,232,600,600,319,919,1,0,5,0,1,231,0,0,95000
213,0,6449,4,1907,1950,0,73,634,707,942,942,1884,1,1,7,0,0,0,0,0,93369
214,60,6048,5,1910,1950,0,736,120,856,936,744,1680,2,0,7,1,2,450,56,144,114900
215,54,6342,5,1875,1996,0,0,780,780,780,240,1020,1,0,6,0,0,0,0,0,94000
216,72,10773,4,1967,1967,72,704,1128,1832,1832,0,1832,2,0,8,0,0,0,0,58,136000
217,72,10778,4,1968,1968,0,0,1768,1768,1768,0,1768,2,0,8,0,0,0,0,0,136500
218,75,11625,5,1965,1965,0,841,198,1039,1039,0,1039,1,1,6,0,2,504,0,0,131500
219,0,11341,5,1957,1996,180,1302,90,1392,1392,0,1392,1,1,5,1,2,528,0,0,121500
220,70,8521,5,1967,1967,0,842,70,912,912,0,912,1,0,5,1,1,336,0,0,125000
221,0,8246,5,1968,2001,0,188,204,1060,1060,0,1060,1,0,6,1,1,270,406,90,154000
222,65,7800,5,1966,2008,47,240,150,864,892,0,892,1,0,5,0,1,416,0,0,137900
223,80,9364,6,1969,1969,143,371,292,663,663,689,1352,1,1,7,0,1,299,379,36,158000
224,65,7832,5,1968,1968,0,775,89,864,864,0,864,1,0,4,0,1,280,226,0,137250
225,0,7424,5,1978,1978,0,1319,0,1319,1373,0,1373,1,0,5,2,2,591,0,0,160250
226,86,11227,5,1968,1968,0,267,0,720,720,720,1440,1,1,7,2,2,480,192,38,163000
227,0,11616,6,1978,1978,328,438,234,672,672,714,1386,2,1,6,1,2,440,335,0,158900
228,80,14000,7,1996,1997,0,1201,105,1306,1306,954,2260,2,1,7,0,2,533,296,44,328000
229,0,20062,7,1977,2001,0,1092,328,1420,1483,0,1483,1,1,4,2,2,690,496,0,270000
230,94,9259,4,1927,1950,0,0,660,660,756,0,756,1,0,4,0,2,440,80,0,85000
231,60,9600,4,1950,1995,0,442,625,1067,1067,0,1067,2,0,4,0,2,436,290,0,128000
232,0,23595,7,1979,1979,0,1258,74,1332,1332,192,1524,0,1,4,1,2,586,268,0,260000
233,0,17082,6,1978,1992,288,964,153,1117,1117,864,1981,2,1,8,1,2,522,336,104,230000
234,124,18600,3,1938,1990,0,288,0,972,1052,558,1610,2,0,8,1,1,480,0,0,124000
235,85,10625,5,1920,1950,0,108,350,458,835,0,835,1,0,5,0,1,366,0,0,83000
236,65,11479,6,1950,1987,0,104,172,663,1074,0,1074,1,0,6,1,1,467,0,52,144500
237,68,9571,5,1956,1956,0,739,405,1144,1144,0,1144,1,0,6,0,1,596,44,0,129000
238,50,9350,4,1947,1979,0,192,564,756,1169,0,1531,1,0,8,1,1,209,0,0,127000
239,75,9525,5,1954,1998,0,954,218,1172,1172,0,1172,1,0,5,0,1,366,240,0,128000
240,83,10420,6,2009,2009,0,36,1176,1212,1212,0,1212,2,0,6,0,2,460,100,22,186000
241,44,17485,7,2009,2010,96,1346,162,1508,1508,0,1508,1,0,5,2,2,572,0,0,308030
242,0,11200,5,1964,1964,0,0,1250,1250,1298,0,1298,2,0,5,0,2,504,0,144,114000
243,60,11100,4,1946,2006,0,0,0,0,930,0,930,1,0,6,0,1,308,0,0,84900
244,77,9206,6,1985,1985,336,0,741,741,977,755,1732,2,1,7,1,2,476,192,46,178000
245,83,11980,7,1987,1987,177,1433,0,1433,1433,0,1433,1,1,4,2,2,528,0,278,270000
246,87,12361,6,1993,1993,85,860,86,946,964,838,1802,2,1,8,1,4,1017,450,92,218000
247,80,9938,7,1993,1994,246,750,300,1050,1062,887,1949,2,1,8,1,2,574,156,90,236000
248,73,9069,6,1992,1992,0,747,189,936,996,0,996,1,0,5,0,2,564,120,0,147000
249,64,10475,8,2008,2008,72,0,1694,1694,1694,0,1694,2,0,7,0,3,776,160,33,245350
250,64,6762,7,2006,2006,24,686,501,1187,1208,0,1208,2,0,6,0,2,632,105,61,206000
251,94,10402,7,2009,2009,0,0,1226,1226,1226,0,1226,2,0,6,0,3,740,0,36,198900
252,64,7360,7,2010,2010,80,24,1198,1222,1222,0,1222,2,0,6,0,2,615,0,54,187000
253,90,12376,7,1990,1990,0,1470,203,1673,1699,1523,3222,3,0,11,2,3,594,367,0,320000
254,82,14235,6,1900,1993,0,0,676,676,831,614,1445,2,0,6,0,2,484,0,59,138500
255,80,8816,6,1971,1971,80,504,506,1010,1052,0,1052,1,0,6,0,2,440,0,0,155000
256,82,11105,5,1996,1996,0,870,0,870,965,0,965,1,0,4,0,2,580,71,0,159000
257,0,9337,7,1997,1998,0,353,525,878,892,800,1692,2,1,8,1,2,513,0,39,191000
258,70,8750,6,1998,1998,116,505,299,804,804,878,1682,2,1,7,0,2,523,0,77,200500
259,38,15240,5,1977,2004,0,198,140,1026,1026,0,1026,1,1,5,0,1,308,316,85,150000
260,0,10900,6,1977,1977,153,378,311,689,689,703,1392,1,1,6,0,1,299,0,36,161750
261,75,10650,5,1976,1976,0,182,0,894,894,0,894,1,0,5,0,1,308,365,0,128200
262,68,7480,5,1972,1972,0,480,396,876,876,0,876,1,0,5,0,2,484,0,0,127000
263,80,10389,8,2003,2003,320,1682,296,1978,1978,0,1978,2,1,8,1,3,850,188,25,318000
264,0,11423,8,2001,2002,479,1358,223,1581,1601,0,1601,2,0,6,1,2,670,180,0,272000
265,44,9548,7,2003,2003,223,483,458,941,941,888,1829,2,1,7,1,2,613,192,39,237000
266,75,9375,7,1997,1997,0,0,1040,1040,1044,1054,2098,2,1,9,1,2,621,331,38,240000
267,48,12137,7,1998,1998,442,0,1649,1649,1661,0,1661,2,0,6,0,2,598,0,34,224900
268,0,4435,6,2003,2003,170,672,176,848,848,0,848,1,0,4,0,2,420,140,0,143750
269,0,4426,6,2004,2004,169,662,186,848,848,0,848,1,0,3,0,2,420,160,0,143000
270,48,10635,8,2003,2003,171,370,315,1657,1668,0,1668,2,0,8,1,2,502,0,262,232000
