Overall Qual,Mas Vnr Area,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Screen Porch,Pool Area,SalePrice
7,220.0,984.0,1264.0,1282,1414,2696,2,1,10,1,3.0,792.0,168,0,383970
8,340.0,1150.0,1466.0,1466,1362,2828,3,0,11,1,3.0,1052.0,0,0,424870
8,0.0,0.0,2140.0,2140,0,2140,2,1,8,0,3.0,894.0,0,0,360000
8,0.0,428.0,965.0,1940,1254,3194,2,1,10,2,2.0,380.0,0,0,359100
8,473.0,1573.0,1573.0,1625,0,1625,2,0,5,1,2.0,495.0,153,0,375000
10,242.0,0.0,1824.0,1824,0,1824,2,0,8,1,3.0,932.0,108,0,392000
9,600.0,1218.0,1398.0,1414,1384,2798,3,1,11,1,3.0,670.0,0,0,457347
10,662.0,0.0,1528.0,1528,1862,3390,3,1,10,1,3.0,758.0,0,0,545224
9,184.0,205.0,1094.0,1102,1371,2473,2,1,11,1,3.0,675.0,0,0,356383
9,208.0,240.0,1992.0,1992,876,2868,3,1,11,1,3.0,716.0,0,0,556581
8,466.0,0.0,1234.0,1264,1312,2576,2,1,10,1,3.0,666.0,0,0,361919
10,734.0,1206.0,1850.0,1850,848,2698,2,1,11,1,3.0,736.0,0,0,535000
9,550.0,0.0,1390.0,1390,1405,2795,3,1,10,1,3.0,660.0,0,0,401179
10,1031.0,0.0,1410.0,1426,1519,2945,3,1,10,1,3.0,641.0,0,0,438780
9,420.0,1416.0,1910.0,2000,0,2000,2,1,8,2,3.0,722.0,123,0,470000
9,215.0,1369.0,1738.0,1738,851,2589,2,1,11,1,3.0,831.0,0,0,412083
10,0.0,1386.0,2076.0,2076,0,2076,2,1,7,1,3.0,850.0,0,0,465000
9,568.0,1505.0,1868.0,1868,0,1868,2,0,7,1,3.0,1085.0,156,0,415000
9,0.0,1274.0,1896.0,1944,0,1944,2,0,8,3,3.0,708.0,0,0,360000
9,430.0,1232.0,1792.0,1792,0,1792,2,0,6,1,3.0,925.0,0,0,372397
9,674.0,1383.0,1780.0,1780,0,1780,2,0,7,1,3.0,816.0,0,0,378000
9,562.0,1567.0,1792.0,1792,0,1792,2,0,6,1,3.0,874.0,0,0,374000
9,870.0,1410.0,1848.0,1848,880,2728,2,1,10,2,3.0,706.0,0,0,437154
10,1378.0,1387.0,1930.0,1831,1796,3627,3,1,10,1,3.0,807.0,0,0,625000
9,877.0,1182.0,1540.0,1540,1315,2855,2,1,9,1,3.0,774.0,0,0,405000
9,738.0,292.0,1733.0,1933,1567,3500,3,1,11,1,3.0,959.0,210,0,584500
8,0.0,1721.0,2077.0,2097,0,2097,1,1,8,1,3.0,1134.0,0,0,423000
9,0.0,1836.0,2036.0,2036,604,2640,3,1,11,1,3.0,792.0,0,0,405749
9,0.0,1810.0,1842.0,1842,0,1842,0,1,5,1,3.0,894.0,0,0,385000
10,0.0,0.0,1107.0,1518,1518,3608,2,1,12,2,3.0,840.0,410,0,475000
6,0.0,425.0,1836.0,1836,1836,3672,3,1,7,2,2.0,836.0,0,0,415000
8,473.0,1573.0,1573.0,1778,0,1778,2,0,5,1,2.0,495.0,153,0,375000
8,208.0,1460.0,1868.0,2028,0,2028,2,0,7,2,3.0,880.0,0,0,369900
9,382.0,1455.0,1838.0,1838,0,1838,2,0,9,1,3.0,682.0,0,0,359900
